Year,Length,Title,Subject
1949,119,Battleground_ The,War
1976,176,Kings of the Road (In the Course of Time),Drama
1990,98,Hiroshima,Drama
1982,111,Return of Martin Guerre_ The,Drama
1956,97,Somebody up There Likes Me,Drama
1955,57,Jack Benny Show,Comedy
1962,182,Mutiny on the Bounty,Action
1989,131,Death Valley Days_ Deadly Decision,Western
1986,60,Monty Python's Flying Circus,Comedy
1986,60,Monty Python's Flying Circus_ Vol 1.,Comedy
1986,59,Monty Python's Flying Circus_ Vol 2.,Comedy
1986,58,Monty Python's Flying Circus_ Vol 3.,Comedy
1990,131,Valkenvania,Comedy
1982,101,Secret Policeman's Other Ball_ The,Comedy
1981,127,Taming of the Shrew_ The,Drama
1964,131,From Russia with Love,Action
1993,108,Offence_ The,Mystery
1992,60,Hollywood Mavericks,Comedy
1990,60,Live at Harrah's,Comedy
1992,52,Persuaders_ The Overture_ The,Mystery
1977,255,Nineteen Hundred,Drama
1989,90,Van_ The,Comedy
1972,15,My Country Right or Wrong,War
1991,131,Clint Eastwood Collection_ The,Westerns
1991,131,Complete Dirty Harry_ Magnum Force_ The,Action
1992,92,Dead Pool_ The,Action
1992,163,Good_ the Bad & the Ugly_ The,Westerns
1959,60,Rawhide_ Premiere Episode,Western
1992,118,Tightrope,Mystery
1987,95,Hearts of Fire,Drama
1992,165,How the West Was Won,Western
1992,131,Mummy's Hand_ The,Mystery
1993,88,Great White Death,Action
1986,119,Mosquito Coast_ The,Drama
1993,102,Today We Kill....Tomorrow We Die,Western
1991,131,Tormenta Sobre Arizona,Drama
1989,116,Back to the Future II,Comedy
1959,60,Maverick_ Duel at Sundown,Western
1983,131,Shakespeare Series,Drama
1973,105,Deadly Trackers,Western
1992,72,American Film Institute_ Alfred Hitchcock,Mystery
1990,131,A Married Man,Drama
1982,208,Othello,Drama
1975,85,Only Way Home_ The,Drama
1953,120,Tales of Tomorrow,Horror
1991,128,Inherit the Wind,Drama
1990,45,This Is Horror,Horror
1992,112,Conversation Piece,Drama
1992,105,Crimson Pirate_ The,Action
1992,83,Devil's Disciple_ The,Mystery
1992,166,Hallelujah Trail_ The,Drama
1992,133,Train_ The,Action
1986,49,Jay Leno: The American Dream,Comedy
1990,92,Primal Rage,Mystery
1990,50,Industrial Symphony_ The Dream of the Broken-Hearted,Music
1986,52,Howie Mandel's North American Watusi Tour,Comedy
1989,90,Branford Marsalis_ Steep,Music
1991,98,L. A. Story,Comedy
1986,60,Steve Martin Live!,Comedy
1974,60,Steve Martin_ The Funnier Side of Eastern Canada,Comedy
1993,131,Runaway Barge_ The,Action
1992,101,Romulus & the Sabines,Action
1989,131,Saint_ The,Mystery
1983,91,Strange Brew,Comedy
1990,98,Another Forty-Eight Hours,Action
1989,131,Best of Eddie Murphy_ Saturday Night Live_ The,Comedy
1991,99,What about Bob?,Comedy
1953,91,Mummy's Revenge_ The,Horror
1992,121,Harper,Mystery
1992,102,Left Handed Gun_ The,Western
1989,131,Once upon a Wheel,Action
1992,136,Prize_ The,Drama
1968,131,Secret War of Harry Frigg_ The,Comedy
1990,131,Two Jakes_ The,Mystery
1989,61,Exile in Concert,Music
1987,60,Joe Piscopo New Jersey Special,Comedy
1991,60,Joe Piscopo Video_ The,Comedy
1989,131,Death Valley Days_ No Gun Behind His Badge,Western
1988,96,Salsa: The Motion Picture,Drama
1991,80,Hollywood's Greatest War Movies,War
1991,91,Out for Justice,Action
1956,27,Case of the Mukkinese Battle Horn_ The,Comedy
1953,75,Goon Show Movie_ The,Comedy
1975,95,Great McGonagall_ The,Comedy
1991,101,I'm All Right Jack,Comedy
1991,101,Magic Christian_ The,Comedy
1960,91,Never Let Go,Action
1991,121,Pink Panther_ The,Comedy
1991,84,Two-Way Stretch,Comedy
1988,65,Face at the Window_ The,Horror
1958,92,Tom Thumb,Science Fiction
1989,90,Beartooth,Action
1979,90,James Taylor in Concert,Music
1942,253,Gangbusters,Drama
1992,131,El Rublo de las Dos Caras,Action
1992,87,Law & Jake Wade_ The,Drama
1967,105,Chuka,Western
1980,93,Cry of the Innocent,Drama
1991,108,Edison the Man,Drama
1991,101,Keeper of the Flame,Drama
1991,92,Spencer Tracy Legacy_ The,Comedy
1957,60,Cheyenne_ The Iron Trail,Western
1992,56,Dawn Rider_ The,Western
1993,131,Duke_ The Films of John Wayne,Western
1939,55,Frontier Horizon,Western
1934,54,Hell Town,Western
1932,131,Hurricane Express,Western
1932,210,Hurricane Express_ The,Action
1965,165,In Harm's Way,War
1991,131,John Wayne Collection_ Red River_ The,War
1992,131,John Wayne Collector's Limited Edition,War
1991,131,John Wayne Four Pack,Western
1939,112,John Wayne Matinee Double Feature_ No. 2,Western
1939,110,John Wayne Matinee Double Feature_ No. 3,Western
1938,110,John Wayne Matinee Double Feature_ No. 4,Western
1990,131,John Wayne Six Pack,Western
1991,131,John Wayne Western Greats_ Rio Bravo,Western
1991,56,King of the Pecos,Western
1992,59,Lawless Frontier,Western
1991,52,Lawless Frontier_ The,Western
1991,56,Lawless Nineties_ The,Western
1934,54,Lucky Texan,Western
1992,112,McQ,Action
1993,131,Neath Arizona Skies,Western
1991,54,Neath the Arizona Skies,Western
1991,53,Randy Rides Alone,Western
1993,58,Range Feud,Western
1992,134,Red River,Western
1991,52,Riders of Destiny,Western
1990,131,Sagebrush Trail,Western
1932,226,Shadow of the Eagle_ The,Action
1989,103,Blood & Guns,Action
1988,78,Hot Money,Drama
1977,75,Comedy Tonight,Comedy
1991,65,Robin Williams,Comedy
